Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID
Valorant Champions 2024,2097,Playoffs,4131.0,Upper Quarterfinals,26235.0
Valorant Champions 2024,2097,Playoffs,4131.0,Upper Semifinals,26236.0
Valorant Champions 2024,2097,Playoffs,4131.0,Upper Final,26237.0
Valorant Champions 2024,2097,Playoffs,4131.0,Grand Final,26238.0
Valorant Champions 2024,2097,Playoffs,4131.0,Lower Round 1,26239.0
Valorant Champions 2024,2097,Playoffs,4131.0,Lower Round 2,26240.0
Valorant Champions 2024,2097,Playoffs,4131.0,Lower Round 3,26241.0
Valorant Champions 2024,2097,Playoffs,4131.0,Lower Final,26242.0
Valorant Champions 2024,2097,Group Stage,4035.0,Opening (A),26219.0
Valorant Champions 2024,2097,Group Stage,4035.0,Winner's (A),26220.0
Valorant Champions 2024,2097,Group Stage,4035.0,Elimination (A),26221.0
Valorant Champions 2024,2097,Group Stage,4035.0,Decider (A),26222.0
Valorant Champions 2024,2097,Group Stage,4035.0,Opening (B),26223.0
Valorant Champions 2024,2097,Group Stage,4035.0,Winner's (B),26224.0
Valorant Champions 2024,2097,Group Stage,4035.0,Elimination (B),26225.0
Valorant Champions 2024,2097,Group Stage,4035.0,Decider (B),26226.0
Valorant Champions 2024,2097,Group Stage,4035.0,Opening (C),26227.0
Valorant Champions 2024,2097,Group Stage,4035.0,Winner's (C),26228.0
Valorant Champions 2024,2097,Group Stage,4035.0,Elimination (C),26229.0
Valorant Champions 2024,2097,Group Stage,4035.0,Decider (C),26230.0
Valorant Champions 2024,2097,Group Stage,4035.0,Opening (D),26231.0
Valorant Champions 2024,2097,Group Stage,4035.0,Winner's (D),26232.0
Valorant Champions 2024,2097,Group Stage,4035.0,Elimination (D),26233.0
Valorant Champions 2024,2097,Group Stage,4035.0,Decider (D),26234.0
Valorant Champions 2024,2097,All Stages,,All Match Types,
Champions Tour 2024: China Stage 2,2096,Playoffs,4034.0,Knockout Round,25937.0
Champions Tour 2024: China Stage 2,2096,Playoffs,4034.0,Upper Semifinals,25938.0
Champions Tour 2024: China Stage 2,2096,Playoffs,4034.0,Upper Final,25939.0
Champions Tour 2024: China Stage 2,2096,Playoffs,4034.0,Grand Final,25940.0
Champions Tour 2024: China Stage 2,2096,Playoffs,4034.0,Lower Round 1,25941.0
Champions Tour 2024: China Stage 2,2096,Playoffs,4034.0,Lower Final,25942.0
Champions Tour 2024: China Stage 2,2096,Regular Season,4033.0,Week 1,25474.0
Champions Tour 2024: China Stage 2,2096,Regular Season,4033.0,Week 2,25475.0
Champions Tour 2024: China Stage 2,2096,Regular Season,4033.0,Week 3,25476.0
Champions Tour 2024: China Stage 2,2096,Regular Season,4033.0,Week 4,25477.0
Champions Tour 2024: China Stage 2,2096,All Stages,,All Match Types,
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030.0,Knockout Round,25968.0
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030.0,Upper Semifinals,25969.0
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030.0,Upper Final,25970.0
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030.0,Grand Final,25971.0
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030.0,Lower Round 1,25972.0
Champions Tour 2024: EMEA Stage 2,2094,Playoffs,4030.0,Lower Final,25973.0
Champions Tour 2024: EMEA Stage 2,2094,Regular Season,4029.0,Week 1,25299.0
Champions Tour 2024: EMEA Stage 2,2094,Regular Season,4029.0,Week 2,25300.0
Champions Tour 2024: EMEA Stage 2,2094,Regular Season,4029.0,Week 3,25301.0
Champions Tour 2024: EMEA Stage 2,2094,Regular Season,4029.0,Week 4,25302.0
Champions Tour 2024: EMEA Stage 2,2094,All Stages,,All Match Types,
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032.0,Knockout Round,25962.0
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032.0,Upper Semifinals,25963.0
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032.0,Upper Final,25964.0
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032.0,Grand Final,25965.0
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032.0,Lower Round 1,25966.0
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032.0,Lower Final,25967.0
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031.0,Week 1,25303.0
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031.0,Week 2,25304.0
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031.0,Week 3,25305.0
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031.0,Week 4,25306.0
Champions Tour 2024: Americas Stage 2,2095,All Stages,,All Match Types,
Champions Tour 2024: Pacific Stage 2,2005,Playoffs,3839.0,Knockout Round,25643.0
Champions Tour 2024: Pacific Stage 2,2005,Playoffs,3839.0,Upper Semifinals,25644.0
Champions Tour 2024: Pacific Stage 2,2005,Playoffs,3839.0,Upper Final,25645.0
